prdctClsfcNo,prdctClsfcNoNm,prdctClsfcNoEngNm,prdctClsfcNoNmDscrpt,,
80909010,농림수산연구조사서비스,"Agriculture, forestry and fisheries research services","농산, 축산, 삼림 및 해양수산에 대한 연구조사 서비스(예: 농림어업총조사 종합분석 등)",,
80909011,과학기술연구조사서비스,Scientific technology research services,"과학 및 전문기술 분야에 대한 연구조사 서비스(예: 지구자기 활동지수 및 표출시스템 개발, 강수입자부피관측 시제품 제작기술 연구 등)",,
80909012,정보통신연구조사서비스,Information and communications research services,"정보화, 정보보호, 보안 및 통신 분야에 대한 연구조사 서비스(예: 인터넷 정보보호 조사, 정보통신분야 표준 정비, 효율적 정보자원 관리 및 발전방안 연구 등)",,
80909013,기상연구조사서비스,Meteorological research services,"기상 분야에 대한 연구조사 서비스(예: 기상자료와 지리정보 중첩기술 개발, 국지예보시스템 개선, 우주기상예측모델 개발 등)",,
80909014,인력개발및교육연구조사서비스,Human resource development and educational research services,"인적자원개발 및 교육 분야에 대한 연구조사 서비스(예: 교육교재개발, 교육프로그램 운영 등)",,
80909015,외교및국제협력연구조사서비스,Diplomatic and international cooperation research services,"외교 및 국제협력 분야에 대한 연구조사 서비스(예: 동북아 안보전략평가 연구, 대외협력 증진방안 등)",,
80909016,무역및국제통상연구조사서비스,International trade research services,"무역 및 국제통상 분야에 대한 연구조사 서비스(예: 무역기술장벽 대응전략 연구, 불법무역사업의 경제적 효과 연구 등)",,
80909017,통일대북연구조사서비스,Unification and North Korea research services,"통일 및 남북협력 등 대북관계 분야에 대한 연구조사 서비스(예: 대북정책 추진전략 연구, 대북교류협력 발전방안 연구 등)",,
80909018,국방연구조사서비스,National defense research services,국방 분야에 대한 연구조사 서비스(예: 군사시설 표준분류체계 연구 등),,
80909019,정치선거연구조사서비스,Politics and election research services,"정치 및 선거 분야에 대한 연구조사 서비스(예: 국회의원선거 외부평가 용역, 선거운동방법의 실효성 분석 및 제도개선 등)",,
80909020,조직인사연구조사서비스,Organization and personnel research services,"조직 및 인사 분야에 대한 연구조사 서비스(예: 경찰직급구조 개선 연구, 조직 및 개인 성과평가체계 고도화, 직무분석, 조직운영실태 분석, 진단 등)",,
80909021,경영전략연구조사서비스,Business strategy research services,"중장기 경영전략 수립, 마케팅, 브랜딩 컨설팅, 경영평가 등에 대한 연구조사 서비스(예: 중장기 발전계획 수립, 지역산업 마케팅 경쟁력 제고, 공기업 경영평가 서비스 등)",,
80909022,기록관리연구조사서비스,Records management research services,"기록물 관리 및 보존 분야에 대한 연구조사 서비스(예: 전자기록물 관리기술 고도화, 보존기록물 기준 설정 및 규격화, 기록물기록 경영시스템 인증제 세부기준 개발 등)",,
80909023,경찰치안연구조사서비스,Police and safety research services,"범죄예방 및 사회안전유지를 위한 경찰 및 치안 등의 분야에 대한 연구조사 서비스(예: 사이버범죄 대응기술 연구, 성범죄자 신상공개제고 개선 연구, 불법도박 실태조사 등)",,
80909024,소방방재연구조사서비스,Firefighting and disaster prevention research services,"화재 및 재난 예방 등의 분야에 대한 연구조사 서비스(예: 화재안전관리체계 개선방안 연구, 지진발생지역 단층연구, 방재도시 설계기준개발 연구 등)",,
80909025,문화예술연구조사서비스,Culture and art research services,"문화, 예술, 문화재, 출판, 언어 등의 분야에 대한 연구조사 서비스(예: 문화콘텐츠 상품개발 및 보급, 한국어 기초사전 구축, 문화유산 융복합연구 등)",,
80909026,관광레저연구조사서비스,Tourism and leisure research services,"관광, 레저, 스포츠 등의 분야에 대한 연구조사 서비스(예: 관광클러스터 조성사업 중간평가 연구, 의료관광 활성화 중장기계획 수립, 관광지 등 조성사업 평가 등)",,
80909027,방송언론연구조사서비스,Broadcast and mass media research services,"방송언론 분야에 대한 연구조사서비스(예: 언론산업 실태조사, 미디어 이용현황 조사, 재난방송 활성화체계 구축방안 연구 등)",,
80909028,환경에너지연구조사서비스,Environment and energy research services,"자연환경, 생활환경의 보존 및 오염방지, 에너지, 지하자원 등의 분야에 대한 연구조사 서비스(예: 동식물 서식환경 안전성 평가, 환경영향평가, 에너지 절약방안 연구 등)",,
80909029,고용노동연구조사서비스,Employment and labor research services,"고용정책, 근로조건, 노사관계 및 직업, 직종 등의 분야에 대한 연구조사서비스(예: 공공기관 고졸채용기반 구축사업, 금융인력 현황조사 및 수급전망 조사, 한국직업사전발간 용역 등)",,
80909030,건설및지역개발연구조사서비스,Construction and local area development research services,"도시, 도로 및 주택의 건설, 국토 및 지역개발 수립, 도시내 지역, 지구 지정 등의 분야에 대한 연구조사서비스(예: 농어촌개발 사업계획수립, 지역별 종합개발 모델 연구, 오피스텔 기준시가 산정 등)",,
80909031,교통연구조사서비스,Traffic and transportation research services,"교통신호운영, 교통량 조사와 같은 교통 정책 등을 연구하는 서비스.",,
80909032,기타연구조사서비스,Other research services,"새로운 지식을 얻기 위한 기초탐구, 실용적 목적으로 연구하는 응용연구, 제품 및 공정개발을 위한 실험개발연구 중 별도로 분류되지 않은 기타 연구 서비스.",,
80909099,전자태그재물조사서비스,Radio frequency identification property survey services,전자태그(RFID태그)와 리더기를 이용하여 물품정보를 기록·보관·활용할 수 있는 재물조사를 실시하는 서비스.,,
81101506,선박설계·감리용역,Naval architecture,"조선 및 선박부문 기술의 지식을 응용하여 관련사업 및 시설물에 관한 연구, 기획, 타당성 조사, 설계, 분석, 구매, 조달, 시험, 감리, 시운전, 평가, 자문지도 등의 활동과 그 활동에 대한 전반적인 사업관리를 수행하는 용역.",,
81101508,건축설계용역,Architectural engineering,"건축물의 신축, 대수선, 용도변경, 리모델링 등 건축공사에 필요한 설계도서를 작성하는 용역",,
81101510,토목설계용역,Civil engineering,"도로, 철도, 교량, 항만의 건설 및 단지 조성 개발 등 토목공사에 필요한 설계도서를 작성하는 용역",,
81101512,지리정보시스템서비스,Geographic information system gis services,컴퓨터를 이용하여 지형·토지이용·도시계획 등 공간을 대상으로 하는 정보를 수집·관리하고 그러한 정보들을 사용 목적에 따라 다양하게 분석해 필요한 결과물을 생산하는 지리정보시스템(GIS)과 관련된 용역.,,
81101513,건축CM용역,Architectural  construction management,건축공사의 기획·타당성조사·분석·설계·조달·계약·시공관리·감리·평가·사후관리 등에 관한 관리업무를 수행하는 용역.,,
81101524,도시계획용역,City development planning services,"도시의 산업, 사회시설, 교육시설 등을 최적의 조건으로 형성하기 위해 계획을 수립하고 설계도서를 작성하는 용역.",,
81101527,상하수도설계용역,Wastewater engineering,"상하수도 시설을 설치하고 관리하기 위해 정비계획을 수립하고 설계도서를 작성하는 용역. 수도정비 기본계획, 수도시설 기술진단, 수도시설정비 및 확장계획, 수도시설 기술진단 결과의 종합 보고, 시설 현대화 계획 등을 포함함.",,
81101570,토목CM용역,Civil construction management,토목공사의 기획·타당성조사·분석·설계·조달·계약·시공관리·감리·평가·사후관리 등에 관한 관리업무를 수행하는 용역.,,
81101590,건축감리용역,Architectural construction supervision service,"건축공사의 설계 및 시공 등이 법령과 관계서류에 따라 진행되었는지 여부를 확인하고 안전 혹은 품질 등을 관리, 지도하는 용역.",,
81101591,토목감리용역,Civil  construction supervision service,"토목공사의 설계 및 시공 등이 법령과 관계서류에 따라 진행되었는지 여부를 확인하고 안전 혹은 품질 등을 관리, 지도하는 용역.",,
81101592,전기감리용역,Electrical  system supervision service,"전기공사의 설계 및 시공 등이 법령과 관계서류에 따라 진행되었는지 여부를 확인하고 안전 혹은 품질 등을 관리, 지도하는 용역.",,
81101593,정보통신감리용역,Information and communication system supervision service,"정보통신공사의 설계 및 시공 등이 법령과 관계서류에 따라 진행되었는지 여부를 확인하고 안전 혹은 품질 등을 관리, 지도하는 용역.",,
81101594,소방감리용역,Fire protection system supervision service,"소방시설공사의 설계 및 시공 등이 법령과 관계서류에 따라 진행되었는지 여부를 확인하고 안전 혹은 품질 등을 관리, 지도하는 용역.",,
81101596,유수율제고서비스,Accounted for water rate service,상수도 관망을 대상으로 현장조사를 통해 문제점을 도출하고 개선함으로써 정수장에서 생산·공급된 물이 중간에 새지 않고 수요자에게 도달하는 비율인 유수율을 높이기 위하여 수행하는 서비스.,,
81101597,조경설계용역,Landscape architecture and design services,"관광지, 공원, 녹지 등의 조성과 보수정비를 위해 계획수립 및 설계도서를 작성하는 용역.",,
81101701,전기설계용역,Electrical engineering services,전기공사에 필요한 설계도서를 작성하는 용역.,,
81102201,교통설계용역,Traffic related maintenance and planning services,도시교통정비를 위해 계획수립 및 설계도서를 작성하는 용역.,,
81102701,소방설계용역,Fire and gas monitoring and control system engineering service,소방설비 등을 구축하기 위해 설계도서를 작성하는 용역.,,
81108989,기타기술용역,Other engineering service,별도 분류되지 않는 기타 기술용역.,,
81109090,국가유산기술용역,National heritage technical services,국가유산수리 또는 기록의 보존을 위한 설계 및 감리 용역.,,
81111513,클라우드서비스,Internet cloud storage service,사진ㆍ문서ㆍ동영상 등 각종 콘텐츠를 클라우드 서버에 저장한 뒤 인터넷으로 접속해 노트북ㆍ스마트폰 등 다양한 기기로 이용할 수 있는 서비스.,,
81111594,생성형AI업무지원서비스,Generative AI business support service,"인공지능 모델을 기반으로 보고서 작성 및 의사결정, 데이터 처리 등을 지원하는 서비스.",,
81111595,클라우드지원서비스,Cloud Support Service,"클라우드 구축, 데이터 이관, 서비스 운영 등을 지원하는 서비스.",,
81111596,클라우드융합서비스,Cloud Fusion Service,지능정보기술 등 다른 기술 또는 서비스와 클라우드 컴퓨팅 기술을 융합한 서비스.,,
81111598,패키지소프트웨어개발및도입서비스,Software package development and introduction services,일반적인 요구와 주어진 시스템의 여건을 감안하여 특정 목적을 위해 프로그램을 설계하여 개발 및 도입하는 서비스.,,
81111599,정보시스템개발서비스,Information system development services,"정보의 수집, 가공, 저장, 검색, 송신, 수신 및 그 활용과 관련되는 하드웨어와 소프트웨어를 개발하는 서비스.",,
81111708,정보통신설계용역,Telecommunications planning services,정보통신공사에 필요한 설계도서를 작성하는 용역.,,
81111799,정보인프라구축서비스,Information infrastructure design services,정보기술을 이용하여 정보교환 등의 목적을 위해 시스템 기반을 구축하는 서비스.,,
81111801,컴퓨터네트워크또는인터넷보안서비스,Computer or network or internet security services,정보 시스템 또는 인프라 보호를 위한 보안·인증에 관련된 서비스.,,
81111809,컴퓨터시스템설치,System installation service,컴퓨터하드웨어나 프로그램을 설치하고 주변기기인 입출력장치 등을 설치하는 용역.,,
81111811,운영위탁서비스,Technical support or help desk support services,시스템 인프라 전반의 운영 및 관리를 전문 IT 기술 기반을 통해 위탁관리하는 서비스.,,
81111899,정보시스템유지관리서비스,System administrators services,"기 구축된 컴퓨터시스템의 소프트웨어와 하드웨어를 관리하는 서비스로, 데이터 및 시스템의 분석 하드웨어 유지·보수 등이 이에 속함.",,
81112002,데이터서비스,Data services,"다양한 형태의 자료를 컴퓨터가 처리할 수 있는 데이터로 만들고, 이를 사용자의 요청에 따라 제공하는 서비스.",,
81112199,인터넷지원개발서비스,Internet support services,인터넷서비스가 원활히 되도록 홈페이지 및 모바일 웹 등을 개발하는 서비스.,,
81112299,소프트웨어유지및지원서비스,Software maintenance and support services,"사용중인 소프트웨어를 유지하고 업그레이드를 지원하는 서비스로, 사용료를 관리하거나 업그레이드펫치의 공급 등이 이에 속함.",,
81112399,전산장비유지관리서비스,Maintenance and repair of computer equipment and components services,컴퓨터하드웨어나 프로그램을 설치하고 주변기기인 입출력장치 등을 유지·보수하는 서비스.,,
81141599,기술검사분석서비스,"Technical test, inspection or analysis services","화학적, 물리적 또는 X선, 감마선, 초음파 및 기타 방법으로 식품 및 종자시험검사, 각종 물질 및 제품의 질적 검사, 성분분석, 결함확인 및 시험 등을 하는 서비스.",,
81141699,공급망관리용역,Supply chain management service,"제품의 운송 비용을 줄이고 시간을 단축시키기 위한 공급망과 관련된 용역으로, 수송기반, 병참, 경로 분석 등의 일이 이에 속함.",,
81141799,생산계획및조정용역,Production planning and control service,"제품의 경쟁력을 확보하고 납기를 준수하기 위한 생산계획 및 생산량의 조정과 관련된 용역으로, 이를 위한 생산의 통계자료수집 및 분석 용역도 이에 속함.",,
81141801,안전진단용역,Safety or risk analysis,"산업재해방지를 위해 재해의 위험성, 안전관리상의 문제 등을 분석하는 용역.",,
81141805,"TAB(Testing, adjusting, balancing)",Building inspection services,"빌딩의 공기조화설비 등이 설계 목적에 따라 설치되었는지를 확인하기 위하여 시험, 조정하고 평가하는 용역.",,
81141807,하수관로시험서비스,Plumbing or sewer inspection service,"하수관로, 오수맨홀, 연결관 등의 시공검사 및 준공검사를 위하여 시공의 적정성 및 수밀성을 조사하는 서비스.",,
81151604,측량용역,Land surveying,"건설공사의 설계, 하천정비, 도시계획 등의 업무에 필요한 토지 및 지형, 지물에 대한 각종 측량과 관련된 용역.",,
81151699,공간정보DB구축서비스,Geographic information database system services,"측량, 탐사, 촬영 등을 통해 수집된 데이터를 바탕으로 데이터베이스를 구축하여 지도를 제작하는 서비스.",,
81151799,지질연구조사서비스,Geological relevent services,"지각의 구조 및 특성, 성인, 암석을 구성하는 광물에 대한 전문적인 지식을 바탕으로 한 기술적 용역으로, 지질탐사, 지질사진촬영 및 판독 등에 관한 용역이 이에 속함.",,
81151899,해양학및수문관련용역,Oceanographic and hydrological services,"해수의 운동과 물성 등의 자연현상인 해양학적 전문지식이나 호소, 지하수 등의 육지 안에 존재하는 물의 분포 및 순환 특성 등에 대한 수문학적 전문지식을 바탕으로 한 기술적 용역으로, 이와 관련된 기후 및 기상정보, 수문기상 등에 관한 용역이 이에 속함.",,
81151999,지구물리연구개발서비스,Geophysical services,"지구의 대기 및 내부구조의 물리학적 전문지식을 바탕으로 한 기술적 용역으로, 지구의 자전 및 공전, 지구의 천문학적 관측 및 탐사 등이 이에 속함.",,
82101698,음원제작서비스,Production sound services,"음악, 오디오 기록물, 지하철 안내방송 등의 음원을 제작하는 서비스. 음원 편집 서비스도 포함함.",,
82111804,번역서비스,Written translation services,"외국어를 한국어로, 한국어를 외국어로 번역해주는 서비스.",,
82111899,문서작성서비스,Editing and support services,"문서의 편집, 교정, 타이핑, 문서처리, 문서의 속기, 필사 등의 서비스.",,
82112090,통역서비스,Person language interpretation services,"외국어를 한국어로, 한국어를 외국어로 통역해주는 서비스.",,
82121503,디지털인쇄물제작서비스,Digital printing services,"컴퓨터, 스마트폰 등의 디지털매체를 통해 읽기가 가능한 인쇄물을 제작하는 서비스.",,
82121599,종이인쇄물제작서비스, Printing relevant services,"종이 인쇄물을 인쇄, 제작하거나 출판하는 서비스.",,
82131603,동영상제작서비스,Video production services,"영화, 비디오물, 애니메이션 등을 제작하는 서비스. 동영상 편집 서비스를 포함함.",,
82131699,사진촬영처리서비스,Photography and process services,"개인용, 상업용, 산업용 목적으로 사진을 촬영하거나 처리하는 서비스. 슬라이드 제작, 사진의 복원 및 수정 등의 서비스를 포함함.",,
