prdctClsfcNo,prdctClsfcNoNm,prdctClsfcNoEngNm,prdctClsfcNoNmDscrpt,,
99232516,융복합금속압연기,Convergence Metal rolling machines,금속의 가소성을 이용해서 고온 또는 상온의 금속재료를 회전하는 2개의 롤 사이로 통과시켜서 여러 가지 형태로 만들어내는 기계. '금속압연기'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99232517,융복합단조기,Convergence Forging machines,금속재의 단조작업을 하는데 사용되는 기계류 및 장비. '단조기'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99232518,융복합금속성형다이및공구,Convergence Metal forming dies and tooling,금속 공작물의 외형을 원하는 형태로 변형하기 위해 사용되는 공구 및 다이를 말함. '금속성형다이및공구'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99232615,융복합쾌속조형기,Convergence Rapid prototyping machinery,"CAD데이터를 통해 객체를 제작하는 기술을 이용한 기계인 \쾌속조형기\""와 다른 품명의 물품이 융복합된 물품. ※ 복합상품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 말하며",,
99232616,융복합쾌속조형기액세서리,Convergence Rapid prototyping machine accessories,수치화된 도면을 바탕으로 모형이나 시제품을 신속하게 만들어내는 장비의 액세서리. '쾌속조형기액세서리'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99232714,융복합용접기계,Convergence Welding machinery,"두 개의 금속·유리·플라스틱 따위를 용접할 때 쓰는 기계기구로, 사용되는 방식에 따라, 전기, 가스, 고주파등을 이용하는 특수용접등으로 구분함. '용접기계'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99232716,융복합연납땜기,Convergence Soldering machines,납땜용도로 사용하기 위한 기계. '연납땜기'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99232717,융복합용접연납땜및경납땜액세서리,Convergence Welding and soldering and brazing accessories,용접 또는 납땜용도로 사용되는 보조용품. '용접연납땜및경납땜액세서리'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99232718,융복합용접연납땜및경납땜용품,Convergence Welding and soldering and brazing supplies,연납땜 및 경납땜을 하기 위해 사용되는 용품. '용접연납땜및경납땜용품'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99232815,융복합코팅또는도금기계,Convergence Coating or plating machines,"부식, 내마모를 방지하기 위하여 금속 표면에 엷은 막을 입히는데 사용되는 기계류 및 장비. '코팅또는도금기계'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99232816,융복합열처리기기,Convergence Heat treating machines,금속재의 열처리 작업에 사용되는 기계류 및 장비. '열처리기기'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99232817,융복합기계식표면처리기,Convergence Mechanical surface treatment machines,기계적으로 완성된 부품의 표면 특성을 개선하는 기계. '기계식표면처리기'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99232819,융복합금속세척기계및용품,Convergence Metal cleaning machinery and supplies,금속 제품의 표면·내부 등의 고체·반고체 또는 액체 오염물을 제거하기 위해서 사용되는 기계. '금속세척기계및용품'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99239802,융복합윤활및주유장치부품,Convergence Lubricating and fueling devices and components,"차량이나 건설기계, 산업기계 등을 위한 윤활 및 주유용 장치 및 부품류. '윤활및주유장치부품'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99239901,융복합제설기계및장비,Convergence Snow making machines and equipment,인공적으로 눈을 만들고 만든 눈을 평평하게 다듬는데 사용되는 기계류 및 장비. '제설기계및장비'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99239902,융복합정비및수리용기계및장비,Convergence Maintenance and repair machines and equipment,다양한 정비에 사용되거나 수리 공장에서 쓰이는 특수한 기계류 및 장비. '정비및수리용기계및장비'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99239903,"융복합건조,탈수및증류용기계및장비",Convergence Drying and dehydrating and distillating machines and equipment,"산업용 대형기기의 건조나 휘발도를 이용한 증류 및 탈수 공정 등에 사용되는 기계류 및 장비. '건조,탈수및증류용기계및장비'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99239904,융복합냉각및냉동제제조기계및장비,Convergence Refrigerating and freezing mixture manufacturing machines and equipment,"냉동식품 보관 및 극저온 실험실 등에서 사용되는 냉동, 냉각제를 제조하는데 사용되는 기계류 및 장비. '냉각및냉동제제조기계및장비'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.",,
99239905,융복합청정실환경조절장비,Convergence Clean work stations environment equipments,산업 현장에서 청정도를 유지하거나 소음이 발생하는 곳의 소음을 감소시키기 위해 사용되는 설비 및 장비류. '청정실환경조절장비'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99239906,융복합환경보호장비및장치,Convergence Environment conservation machinery and equipment,환경보호에 사용되는 기계류 및 장비. '환경보호장비및장치'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함.,,
99241015,융복합산업용트럭,Convergence industrial trucks,차체의 중량을 부담하고 이것을 각 차륜에 고르게 분포함과 동시에 차체에 대하여 자유롭게 방향을 전환하여 차량의 주행을 원활하게 하는 장치를 갖춘 차량인 '산업용트럭'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함,,
99241016,융복합리프트장비및액세서리,Convergence Lifting equipment and accessories,"사람 및 화물을 상하로 수송하는 장비 및 액세서리인 '리프트장비및액세서리'와 다른 품명의 물품이 융복합된 물품.\n※ 복합상품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 말하며, 단순히 여러 상품을 일괄 발주하는 형태는 포함되지 않음.",,
99241017,융복합컨베이어및액세서리,Convergence conveyors and accessories,"재료 또는 화물을, 일정한 간격을 두고 자동으로 연속 운반하는 기계장치인 '컨베이어및액세서리'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
99241018,융복합창고용독장비,Convergence dock equipment,"화물운송 차량의 적재함 높이와 비슷하게 만든 창고의 입출고장을 도크라고 하며, 이 지역에서 화물 입출고 작업이 원활하도록 제작한 물자취급 장비인 '창고용독장비'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
99241019,융복합드럼운반및하역장비,Convergence drum handling equipment,드럼을 운반하고 드럼에 들어 있는 내용물을 사용하기 위해 기울일 때 사용하는 모든 종류의 장비와 주변의 오염 방지를 위한 장치를 포함한 '드럼운반및하역장비'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함,,
99241020,융복합선반및저장장비,Convergence shelving and storage,화물을 올려놓고 보관하거나 저장하는데 사용하는 장치인 '선반및저장장비'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함,,
99241021,융복합보관장비및부품,Convergence warehousing equipment and supplies,"생산현장에서 가공기계에 원자재를 공급해주는 자동화 장치(Automatic loader/unloader)를 포함하여, 물품의 적재와 보관을 위한 장비와 부품을 포함하는 '보관장비및부품'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
99241022,융복합포장도구,Convergence packing tools,"물품을 수송 ·보관함에 있어서 가치 및 상태를 보호하기 위하여 적절한 재료나 용기 등을 물품에 포장하는데 사용되는 기구. 밴딩머신, 진공포장기, 테핑기, 랩핑기 등의 장비 및 도구를 포함하는 '포장도구'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
99241023,융복합무인운반차량,Convergence automatic guided vehicles agv,"사람이 직접 조작하지 않고 자동으로 짐을 운반하는 차량으로, 자동으로 물품을 정리하는 무인 물류창고나, 제조공정간의 물류이동 자동화에 사용되는 '무인운반차량'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
99241115,융복합자루,Convergence bags,"물건을 넣어 들고 다니기에 간편하도록 만든 기구. 재료로 가죽 ·천 ·비닐 ·인조피혁 등이 많이 쓰임. 손에 들고 다니는 것, 어깨에 메고 다니는 것, 밑에 바퀴를 달아 끌고 다니는 것 등 용도에 따라서 모양 ·구조 ·크기가 다양한 '자루'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
99241118,융복합탱크및원통형저장소,Convergence tanks and cylinders and their accessories,"기체나 액체를 넣어 저장하는 용기 또는 유체를 밀폐한 원통형의 용기인 '탱크및원통형저장소'와 다른 품명의 물품이 융복합된 물품. ※ 복합상품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 말하며, 단순히 여러 상품을 일괄 발주하는 형태는 포함되지 않음.",,
99241121,"융복합캐스크,배럴및드럼",Convergence casks and barrels and drums,"물질의 수송 및 저장에 쓰이는 차폐기능을 가진 용기인 '캐스크,배럴및드럼'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
99241122,융복합캔및원통형용기,Convergence cans and pails,"식품류를 가열 또는 가공, 밀봉하여 장기간 보관하기 위한 금속제의 원통형 통인 '캔및원통형용기'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
99241124,"융복합저장용기,캐비닛및트렁크",Convergence storage chests and cabinets and trunks,"저장 및 보관을 위해 사용하는 상자, 캐비넷 및 트렁크인 '저장용기,캐비닛및트렁크'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
99241125,융복합유통용골판및기타용품,Convergence corrugated and other supplies for distribution,"궤의 형태로 내부에 물건을 넣을 수 있도록 네모 또는 다른 형상으로 만든 그릇 형태의 것으로, 상자의 재질로는 종이류 또는 목재류, 철판류 등이 이용되는 '유통용골판및기타용품'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
99241126,융복합액체용기,Convergence liquid containers,유체를 수송 및 보관하기 위해 사용하는 용기인 '액체용기'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함,,
99241127,융복합팰릿,Convergence pallets,"유닛로드 시스템을 추진하기 위해 사용되며, 물품을 수송, 하역, 보관하기 위하여 단위 수량으로 한데 모아서 쌓아 놓는 면을 가짐. 구조에 따라 단면, 양면, 2방향, 4방향이 있고 화물취급판 위로 연장된 양면이 있을 수도 있음. 재질로는 종이, 나무, 플라스틱, 철제 등이 있으며 스키드 및 슬립시트를 포함하는 '팰릿'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
99241128,융복합화물컨테이너,Convergence freight containers,"화물을 능률적이고 경제적으로 수송하기 위해 사용하는 상자형 용기로, 국제표준화기구(ISO)에서는 프레이트 컨테이너, 미국규격협회(ANSI)에서는 카고 컨테이너라고도 하는 '화물컨테이너'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
99241129,융복합나무틀,Convergence crates,화물이나 물건 등을 담아 운송하거나 장기 보관하기 위하여 나무로 만들어진 상자의 총칭인 '나무틀'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함,,
99241215,"융복합포장상자,자루및우편낭",Convergence packaging boxes and bags and pouches,"물품의 수송 및 보관에 있어서 가치 및 상태를 보호하는 용기인 '포장상자,자루및우편낭'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
99241220,융복합병,Convergence bottles,주로 액체를 담는 목이 좁은 그릇인 '병'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함,,
99241315,융복합산업용냉장기,Convergence industrial refrigerators,산업용으로 사용되는 저온저장을 목적으로 하는 장치인 '산업용냉장기'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함,,
99241316,융복합산업용냉동기,Convergence industrial freezers,"밀폐된 용기 속의 온도를 그 주위의 온도보다 낮게 하기 위해 기계적인 작업을 하거나, 열을 흡수하여 냉동작용을 하는 장치인 '산업용냉동기'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
99241319,융복합제빙기,Convergence ice makers,인공적으로 제빙시켜 얼음을 만드는 장치인 '제빙기'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함,,
99241415,융복합제품보호부품,Convergence securing and protecting supplies,포장할 때 제품을 보호하기 위해 사용하는 보조용품인 '제품보호부품'과 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함,,
99241416,융복합제품완충용재료,Convergence cushioning supplies,충격으로 인해 급격히 가해지는 에너지를 흡수해서 충격을 완화시키는 목적으로 사용되는 재료인 '제품완충용재료'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함,,
99241417,"융복합포장용튜브,코아,라벨및액세서리",Convergence packaging tubes and cores and labels and accessories,"포장을 하기 위해 사용하는 튜브, 철심, 레이블 및 부속품인 '포장용튜브,코아,라벨및액세서리'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
99251015,융복합승용자동차,Convergence passenger motor vehicles,"자동차관리법 제3조의 규정에 따른 승합자동차, 승용자동차와 밴형자동차 등을 포함함. '승용자동차'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
99251016,융복합화물자동차,Convergence product and material transport vehicles,"각종 물자를 수송하는 것을 목적으로 하는 자동차로, 구조적으로는 간결, 강인하게 만들어졌고, 기본적인 섀시 위에 표준하대(標準荷臺)를 장착한 것 외에 레커차, 콘크리트믹서트럭 등이 있음. '화물자동차'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
99251017,융복합안전및소방차량,Convergence safety and rescue vehicles,"공공안전이나 인명구조 등을 목적으로 사용되는 자동차로, 화재나 재해와 같은 긴급사태에 대비하여 소방용 등의 장비를 갖춘 소방차 및 부상자, 환자 등을 병원으로 긴급 수송하기 위해 장비된 인명구조용 자동차나 구급자동차 등을 포함함. '안전및소방차량'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
99251018,융복합오토바이류,Convergence motorized cycles,"원동기를 장착하여 그 동력으로 주행하는 이륜차로, 일반적으로 소형의 가솔린기관을 탑재한 이륜차를 지칭하나, 자전거에 보조기관을 설치한 모터자전거, 스쿠터(scooter), 삼륜식(三輪式)인 사이드카(sidecar) 등도 포함됨. '오토바이류'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
99251019,융복합특수자동차및레저용자동차,Convergence specialized and recreational vehicles,"특수한 목적을 가지거나 특수한 구조를 가진 자동차 및 레저 활동에 사용되는 자동차로, 각종 특수구조 화물차, 차이동주택차, 설상차, 기중기차, 골프카트, 각종 청소차, 제초차, 영구차, 우마차 등을 포함함. '특수자동차및레저용자동차'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
99251115,융복합상선,Convergence commercial marine craft,"운임을 받고 여객이나 화물을 수송하거나 서비스를 제공하는 배로서, 여객이나 화물을 운송함으로써 그 운임 수입을 목적으로 하는 상선, 어로에 종사하는 어선 및 기타 특수 상업적 목적을 위한 선박으로 구분함. '상선'와 다른 품명의 물품이 융복합된 물품. ※ 융복합제품이란 특정한 목적을 위해 연계할 필요성이 높은 2개 이상의 상품이 복합되어 새로운 기능을 구현하는 상품을 의미함. 따라서 단순히 여러상품을 일괄발주하는 형태는 포함되지 않으며 복합되는 품명에 따라 적용되는 관련 법령을 고려하여야 함",,
